21:47:57  |  Core  |  Warning  |  Widget property 'Caption' not found [Kenshi_InventoryTraderWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:48:35  |  Core  |  Warning  |  Widget property 'Caption' not found [Kenshi_InventoryTraderWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:49:05  |  Core  |  Warning  |  Widget property 'FontName' not found [Kenshi_SaveGamePanel.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:49:05  |  Core  |  Warning  |  Widget property 'TextColour' not found [Kenshi_SaveGamePanel.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:49:05  |  Core  |  Warning  |  Widget property 'TextShadow' not found [Kenshi_SaveGamePanel.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:49:05  |  Core  |  Warning  |  Widget property 'TextShadowColour' not found [Kenshi_SaveGamePanel.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:49:17  |  Core  |  Warning  |  Widget property 'FontName' not found [Kenshi_LoadGamePanel.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:49:17  |  Core  |  Warning  |  Widget property 'TextColour' not found [Kenshi_LoadGamePanel.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:49:17  |  Core  |  Warning  |  Widget property 'TextShadow' not found [Kenshi_LoadGamePanel.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:49:17  |  Core  |  Warning  |  Widget property 'TextShadowColour' not found [Kenshi_LoadGamePanel.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:51:37  |  Core  |  Warning  |  Widget property 'FontName' not found [Kenshi_LoadGamePanel.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:51:37  |  Core  |  Warning  |  Widget property 'TextColour' not found [Kenshi_LoadGamePanel.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:51:37  |  Core  |  Warning  |  Widget property 'TextShadow' not found [Kenshi_LoadGamePanel.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:51:37  |  Core  |  Warning  |  Widget property 'TextShadowColour' not found [Kenshi_LoadGamePanel.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:52:56  |  Core  |  Warning  |  Widget property 'Caption' not found [Kenshi_InventoryTraderWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:53:21  |  Core  |  Warning  |  Widget property 'Caption' not found [Kenshi_InventoryTraderWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:53:34  |  Core  |  Warning  |  Widget property 'Caption' not found [Kenshi_InventoryTraderWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:54:32  |  Core  |  Warning  |  Widget property 'Caption' not found [Kenshi_InventoryTraderWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
